From/to,AAA,AA+,AA,AA-,A+,A,A-,BBB+,BBB,BBB-,BB+,BB,BB-,B+,B,B-,CCC,D,NR,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1,Unnamed: 38_level_1,Unnamed: 39_level_1,Unnamed: 40_level_1
BB-,0.00,0.00,0.00,0.01,0.01,0.01,0.05,0.09,0.23,0.35,1.69,9.57,63.71,8.42,3.04,0.81,0.66,0.91,10.42,,,,,,,,,,,,,,,,,,,,,
,(0.00),(0.00),(0.00),(0.09),(0.08),(0.07),(0.27),(0.24),(0.42),(0.61),(1.62),(3.93),(5.36),(3.64),(1.53),(0.77),(0.81),(1.40),(2.49),,,,,,,,,,,,,,,,,,,,,
B+,0.00,0.01,0.00,0.03,0.00,0.03,0.06,0.04,0.05,0.10,0.31,1.42,8.17,62.91,9.20,2.51,1.71,1.98,11.45,,,,,,,,,,,,,,,,,,,,,
,(0.00),(0.06),(0.00),(0.14),(0.00),(0.09),(0.20),(0.13),(0.16),(0.21),(0.35),(1.10),(3.33),(5.60),(3.60),(1.24),(1.57),(2.01),(2.64),,,,,,,,,,,,,,,,,,,,,
B,0.00,0.00,0.01,0.01,0.00,0.03,0.04,0.02,0.05,0.03,0.11,0.23,1.09,7.38,62.00,9.32,3.85,3.20,12.63,,,,,,,,,,,,,,,,,,,,,
,(0.00),(0.00),(0.08),(0.06),(0.00),(0.19),(0.35),(0.07),(0.28),(0.10),(0.28),(0.53),(1.18),(3.16),(6.74),(3.65),(3.04),(4.04),(2.56),,,,,,,,,,,,,,,,,,,,,
B-,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.06,0.05,0.10,0.08,0.13,0.46,2.18,10.06,54.63,11.70,6.49,14.02,,,,,,,,,,,,,,,,,,,,,
,(0.00),(0.00),(0.00),(0.00),(0.29),(0.28),(0.00),(0.31),(0.17),(0.42),(0.43),(0.81),(0.85),(2.21),(4.89),(6.85),(3.76),(5.99),(3.82),,,,,,,,,,,,,,,,,,,,,
CCC/C,0.00,0.00,0.00,0.00,0.03,0.00,0.08,0.05,0.08,0.05,0.03,0.16,0.40,0.98,2.57,9.41,43.64,27.08,15.45,,,,,,,,,,,,,,,,,,,,,
,(0.00),(0.00),(0.00),(0.00),(0.22),(0.00),(0.36),(0.45),(0.31),(0.36),(0.22),(0.49),(0.73),(1.48),(2.88),(5.41),(8.42),(10.50),(5.09),,,,,,,,,,,,,,,,,,,,,
"NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®.","NR--Not rated. Note: Numbers in parentheses are weighted standard deviations, weighted by the issuer base. Sources: S&P Global Ratings Research and S&P Global Market Intelligence's CreditPro®."
