Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NFLX220624P00182500,2022-06-21 12:16PM EDT,182.5,11.28,12.5,12.85,2.18,+23.96%,50,181,61.38%
NFLX220624P00185000,2022-06-21 1:07PM EDT,185.0,14.09,14.75,15.1,3.14,+28.68%,91,742,62.84%
NFLX220624P00187500,2022-06-21 11:44AM EDT,187.5,16.04,16.95,17.5,2.74,+20.60%,2,124,63.53%
NFLX220624P00190000,2022-06-21 12:04PM EDT,190.0,18.26,19.4,19.85,2.61,+16.68%,30,556,66.02%
NFLX220624P00192500,2022-06-21 12:03PM EDT,192.5,20.53,21.75,22.3,3.43,+20.06%,11,281,66.99%
NFLX220624P00195000,2022-06-21 12:20PM EDT,195.0,23.61,24.1,24.6,3.29,+16.19%,13,233,57.23%
NFLX220624P00197500,2022-06-17 3:30PM EDT,197.5,21.43,26.6,27.1,0.0,-,10,68,61.91%
NFLX220624P00200000,2022-06-21 1:49PM EDT,200.0,29.5,29.25,29.8,4.35,+17.30%,20,225,83.59%
NFLX220624P00202500,2022-06-21 12:01PM EDT,202.5,30.38,31.65,32.3,4.91,+19.28%,1,28,85.16%
NFLX220624P00205000,2022-06-21 12:26PM EDT,205.0,33.97,34.25,34.85,6.02,+21.54%,3,212,95.70%
NFLX220624P00207500,2022-06-16 10:27AM EDT,207.5,33.4,36.65,37.4,0.0,-,3,23,99.02%
NFLX220624P00210000,2022-06-21 2:13PM EDT,210.0,39.51,39.15,39.9,5.21,+15.19%,2,81,103.91%
NFLX220624P00212500,2022-06-13 3:48PM EDT,212.5,43.6,41.65,42.35,0.0,-,17,5,106.64%
NFLX220624P00215000,2022-06-17 3:35PM EDT,215.0,39.25,44.15,44.95,0.0,-,35,32,115.43%
NFLX220624P00217500,2022-06-17 10:25AM EDT,217.5,42.27,46.65,47.4,0.0,-,1,8,118.16%
NFLX220624P00220000,2022-06-21 10:38AM EDT,220.0,42.97,49.0,49.8,0.07,+0.16%,10,42,108.98%
NFLX220624P00222500,2022-06-13 2:50PM EDT,222.5,51.54,50.65,52.3,0.0,-,3,4,146.00%
NFLX220624P00225000,2022-06-17 3:08PM EDT,225.0,48.63,54.15,54.9,0.0,-,2,31,131.54%
NFLX220624P00227500,2022-06-17 3:36PM EDT,227.5,52.0,56.5,57.3,0.0,-,1,1,121.09%
NFLX220624P00230000,2022-06-17 2:44PM EDT,230.0,53.06,59.0,59.8,0.0,-,3,12,125.00%
NFLX220624P00235000,2022-06-16 2:48PM EDT,235.0,61.92,64.15,64.95,0.0,-,1,44,150.78%
NFLX220624P00240000,2022-06-17 2:30PM EDT,240.0,63.49,69.0,69.8,0.0,-,1,7,139.84%
NFLX220624P00245000,2022-06-15 10:45AM EDT,245.0,70.48,74.15,74.95,0.0,-,1,6,166.80%
NFLX220624P00250000,2022-06-16 9:45AM EDT,250.0,75.55,79.15,79.85,0.0,-,6,50,168.95%
NFLX220624P00255000,2022-06-10 10:02AM EDT,255.0,73.99,84.1,84.8,0.0,-,23,0,169.53%
NFLX220624P00260000,2022-06-14 2:58PM EDT,260.0,94.65,89.15,89.95,0.0,-,4,0,189.06%
NFLX220624P00265000,2022-06-14 2:58PM EDT,265.0,99.67,94.0,94.8,0.0,-,5,0,173.83%
NFLX220624P00270000,2022-05-26 3:48PM EDT,270.0,78.94,99.15,99.95,0.0,-,0,0,202.93%
NFLX220624P00275000,2022-05-26 2:25PM EDT,275.0,83.87,104.0,104.8,0.0,-,15,0,186.33%
